1,3
3,NULL
4,3
5,4
6,2
7,6
8,7
9,8
9,47
10,9
11,8
11,10
12,10
13,44
13,10
14,44
14,8
14,10
15,44
15,8
15,10
16,44
16,14
17,44
17,16
18,44
18,16
19,44
19,16
20,44
20,16
21,44
21,16
22,44
22,16
23,44
23,16
24,44
24,16
25,44
25,16
26,44
26,16
27,44
27,16
28,44
28,16
29,44
29,8
29,13
30,5
30,5
32,44
32,8
32,31
32,47
33,14
34,30
34,30
36,59
37,59
38,59
39,59
40,59
43,NULL
46,45
48,14
48,16
49,8
50,49
50,49
51,50
51,50
52,51
52,51
53,NULL
53,57
53,151
54,NULL
54,63
55,NULL
55,53
55,151
56,NULL
56,55
56,151
57,NULL
57,151
58,57
59,58
60,NULL
60,59
60,65
60,74
60,152
61,60
62,60
62,61
63,60
63,62
64,NULL
64,66
64,152
65,NULL
65,59
65,64
65,152
66,NULL
66,55
66,59
66,67
66,74
66,152
67,NULL
67,55
67,59
67,74
67,152
68,NULL
68,34
69,NULL
69,34
70,34
70,18
71,NULL
71,34
72,71
73,28
74,NULL
74,73
75,76
76,NULL
76,44
76,32
76,59
77,NULL
77,59
77,74
77,152
78,NULL
78,55
78,81
79,64
79,80
80,NULL
80,55
80,77
81,NULL
81,55
81,77
81,79
83,82
83,191
84,82
84,83
84,191
85,83
86,83
87,83
88,83
89,83
89,85
89,86
89,87
89,88
90,83
91,90
92,91
94,83
95,83
96,83
96,94
97,83
97,95
98,94
98,95
98,96
98,97
100,83
100,99
110,108
110,109
111,104
111,105
111,106
113,101
113,188
114,101
114,188
115,101
115,188
116,101
116,188
117,101
117,188
117,190
117,210
118,101
118,188
119,102
119,190
120,102
120,190
121,102
121,190
122,102
122,190
123,102
123,190
124,113
124,114
124,115
124,116
124,117
124,118
124,119
124,120
124,121
124,122
124,123
124,212
124,213
124,214
125,NULL
125,53
125,111
125,152
126,84
126,89
126,124
127,71
127,104
127,105
127,106
127,110
127,125
127,126
128,127
129,128
130,129
131,130
132,131
133,132
134,133
135,134
136,135
137,136
138,134
139,134
140,138
141,NULL
141,NULL
141,59
141,64
141,74
141,150
142,NULL
142,NULL
142,74
142,141
143,NULL
143,NULL
143,74
143,142
144,NULL
144,NULL
144,74
144,143
145,NULL
145,58
145,152
146,NULL
146,NULL
146,55
146,59
146,145
149,NULL
150,38
150,40
150,146
151,NULL
152,NULL
153,101
153,115
153,188
154,NULL
154,78
154,216
155,71
155,72
156,34
156,33
156,67
156,80
156,79
156,81
156,78
156,154
157,156
158,156
159,156
159,157
160,156
160,159
160,166
160,216
161,156
161,160
161,166
162,156
162,159
163,34
163,33
163,83
163,138
163,139
163,140
164,140
164,163
164,165
165,139
165,163
166,155
166,156
167,NULL
167,NULL
167,NULL
168,34
169,168
170,NULL
170,NULL
170,NULL
171,NULL
171,NULL
171,NULL
172,44
172,16
174,90
175,174
177,134
177,178
180,179
180,191
181,179
181,191
182,179
182,191
183,179
183,191
184,179
184,191
185,179
185,191
186,179
186,191
187,179
187,191
188,180
188,181
188,182
188,183
188,184
188,185
188,186
188,187
188,192
189,191
190,189
190,192
192,191
193,NULL
194,193
195,194
196,195
197,82
197,83
197,84
199,134
200,90
202,201
203,202
205,206
206,204
207,44
207,16
208,59
209,191
210,192
210,209
212,210
213,210
214,210
216,48
220,218
221,220
222,220
222,228
222,234
224,218
225,223
226,215
227,226
228,220
229,218
231,221
231,229
232,233
233,215
234,220
234,228
235,48
238,237
